acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.835,https://api.spotify.com/v1/audio-analysis/1Ov0M27IkghTJT00xvmlSO,0.503,161440,0.321,1Ov0M27IkghTJT00xvmlSO,0.0,1,0.353,-11.827,0,0.0468,82.396,4,https://api.spotify.com/v1/tracks/1Ov0M27IkghTJT00xvmlSO,audio_features,spotify:track:1Ov0M27IkghTJT00xvmlSO,0.36,While My Guitar Gently Weeps - Esher Demo
0.771,https://api.spotify.com/v1/audio-analysis/2TqrXEPZiEwiNgEBpX0uXV,0.587,115027,0.18,2TqrXEPZiEwiNgEBpX0uXV,2.41e-05,5,0.161,-12.486,1,0.0424,138.625,5,https://api.spotify.com/v1/tracks/2TqrXEPZiEwiNgEBpX0uXV,audio_features,spotify:track:2TqrXEPZiEwiNgEBpX0uXV,0.186,Happiness Is A Warm Gun - Esher Demo
0.756,https://api.spotify.com/v1/audio-analysis/3W4s5oTDnVTO0jYGkTKksZ,0.473,190760,0.285,3W4s5oTDnVTO0jYGkTKksZ,0.0,11,0.925,-11.598,1,0.101,152.361,4,https://api.spotify.com/v1/tracks/3W4s5oTDnVTO0jYGkTKksZ,audio_features,spotify:track:3W4s5oTDnVTO0jYGkTKksZ,0.42,I'm So Tired - Esher Demo
0.699,https://api.spotify.com/v1/audio-analysis/3VcZIqs8e3S830haKWlg35,0.585,154520,0.272,3VcZIqs8e3S830haKWlg35,0.000274,7,0.0758,-12.194,1,0.0342,89.156,4,https://api.spotify.com/v1/tracks/3VcZIqs8e3S830haKWlg35,audio_features,spotify:track:3VcZIqs8e3S830haKWlg35,0.388,Blackbird - Esher Demo
0.868,https://api.spotify.com/v1/audio-analysis/6UiTIOtvSJ6cT5tLHUXrUk,0.447,125787,0.225,6UiTIOtvSJ6cT5tLHUXrUk,0.0,2,0.341,-11.622,1,0.0445,175.566,4,https://api.spotify.com/v1/tracks/6UiTIOtvSJ6cT5tLHUXrUk,audio_features,spotify:track:6UiTIOtvSJ6cT5tLHUXrUk,0.464,Piggies - Esher Demo
0.619,https://api.spotify.com/v1/audio-analysis/0HtuDxkKRBmlCNgFtXSJR7,0.6,164320,0.297,0HtuDxkKRBmlCNgFtXSJR7,0.0,6,0.301,-9.875,1,0.0349,82.588,4,https://api.spotify.com/v1/tracks/0HtuDxkKRBmlCNgFtXSJR7,audio_features,spotify:track:0HtuDxkKRBmlCNgFtXSJR7,0.356,Rocky Raccoon - Esher Demo
0.845,https://api.spotify.com/v1/audio-analysis/2PpMip6JAdA42d39fN9ziz,0.507,236467,0.278,2PpMip6JAdA42d39fN9ziz,0.0344,3,0.228,-11.235,1,0.0306,138.715,4,https://api.spotify.com/v1/tracks/2PpMip6JAdA42d39fN9ziz,audio_features,spotify:track:2PpMip6JAdA42d39fN9ziz,0.261,Julia - Esher Demo
0.374,https://api.spotify.com/v1/audio-analysis/4pX0NHWJXjtcgl8wzaaF4T,0.567,211387,0.467,4pX0NHWJXjtcgl8wzaaF4T,0.000416,8,0.511,-10.586,1,0.0432,148.643,3,https://api.spotify.com/v1/tracks/4pX0NHWJXjtcgl8wzaaF4T,audio_features,spotify:track:4pX0NHWJXjtcgl8wzaaF4T,0.643,Yer Blues - Esher Demo
0.835,https://api.spotify.com/v1/audio-analysis/2IyAlDb54LzF8O1V08389y,0.356,144413,0.324,2IyAlDb54LzF8O1V08389y,0.000122,8,0.351,-9.269,1,0.0282,174.134,4,https://api.spotify.com/v1/tracks/2IyAlDb54LzF8O1V08389y,audio_features,spotify:track:2IyAlDb54LzF8O1V08389y,0.331,Mother Nature's Son - Esher Demo
0.131,https://api.spotify.com/v1/audio-analysis/3ah9CP3ZRW1VR51UmUN8eQ,0.678,183893,0.587,3ah9CP3ZRW1VR51UmUN8eQ,0.0,6,0.31,-9.721,1,0.0398,118.018,4,https://api.spotify.com/v1/tracks/3ah9CP3ZRW1VR51UmUN8eQ,audio_features,spotify:track:3ah9CP3ZRW1VR51UmUN8eQ,0.704,Everybody's Got Something To Hide Except Me And My Monkey - Esher Demo
0.783,https://api.spotify.com/v1/audio-analysis/2SB7SvBpz5X5ZnmABsLUUT,0.432,146693,0.283,2SB7SvBpz5X5ZnmABsLUUT,1.95e-06,5,0.358,-11.616,0,0.0528,147.869,4,https://api.spotify.com/v1/tracks/2SB7SvBpz5X5ZnmABsLUUT,audio_features,spotify:track:2SB7SvBpz5X5ZnmABsLUUT,0.257,Sexy Sadie - Esher Demo
0.294,https://api.spotify.com/v1/audio-analysis/1rk6mhy7dajKBKFXJ61ODy,0.723,246640,0.383,1rk6mhy7dajKBKFXJ61ODy,1.73e-05,5,0.118,-9.526,0,0.0682,121.509,4,https://api.spotify.com/v1/tracks/1rk6mhy7dajKBKFXJ61ODy,audio_features,spotify:track:1rk6mhy7dajKBKFXJ61ODy,0.569,Revolution - Esher Demo
0.4,https://api.spotify.com/v1/audio-analysis/1vGsN6wxEYAho6VpUY2n4W,0.633,119907,0.47,1vGsN6wxEYAho6VpUY2n4W,0.0,2,0.261,-9.198,1,0.113,78.419,4,https://api.spotify.com/v1/tracks/1vGsN6wxEYAho6VpUY2n4W,audio_features,spotify:track:1vGsN6wxEYAho6VpUY2n4W,0.655,Honey Pie - Esher Demo
0.805,https://api.spotify.com/v1/audio-analysis/0HwhpBRNQejQ0lnUc4RPlX,0.63,147733,0.277,0HwhpBRNQejQ0lnUc4RPlX,0.0,8,0.332,-11.472,0,0.0529,154.921,4,https://api.spotify.com/v1/tracks/0HwhpBRNQejQ0lnUc4RPlX,audio_features,spotify:track:0HwhpBRNQejQ0lnUc4RPlX,0.717,Cry Baby Cry - Esher Demo
0.86,https://api.spotify.com/v1/audio-analysis/3LhwP2LcoiaIxMxRnU6zez,0.662,223533,0.392,3LhwP2LcoiaIxMxRnU6zez,8.4e-06,7,0.378,-9.967,1,0.0509,127.317,4,https://api.spotify.com/v1/tracks/3LhwP2LcoiaIxMxRnU6zez,audio_features,spotify:track:3LhwP2LcoiaIxMxRnU6zez,0.402,Sour Milk Sea - Esher Demo
